formula,hform,pred_LR,erro_abs_LR,pred_GB,erro_abs_GB,pred_RF,erro_abs_RF,pred_RNA,erro_abs_RNA
BN,-1.292174034202367,0.3600140128365452,1.6521880470389123,0.24092367370682624,1.5330977079091934,0.07337167916037114,1.3655457133627382,0.24611313715999858,1.5382871713623656
Sr2Se2,-1.727370178237185,-1.362170797742594,0.365199380494591,-1.046050588911469,0.681319589325716,-0.6637104294905429,1.0636597487466422,-0.7305203924412189,0.9968497857959662
Al2F6,-3.569893313410812,-2.203210028245469,1.366683285165343,-2.8491976953774873,0.7206956180333246,-2.612632676273182,0.95726063713763,-2.9607004056179065,0.6091929077929055
Ca2F4O8,-0.185137293379957,-1.9456730508576896,1.7605357574777325,-1.4486418007235373,1.2635045073435802,-1.1269199882054606,0.9417826948255036,-0.7831932353845362,0.5980559420045792
B6N2,0.1727063749195503,0.8958708412208065,0.7231644663012562,1.0366563889323777,0.8639500140128273,1.066658222562674,0.8939518476431236,1.3551527385555389,1.1824463636359885
O2P,-0.8286475176243459,-1.2477274629436899,0.419079945319344,-1.5768478877320196,0.7482003701076737,-1.6883089529977633,0.8596614353734174,-1.5752636874297363,0.7466161698053905
Sr2F4O8,-0.1643975017771077,-2.0768728080131282,1.9124753062360205,-1.4217943629546101,1.2573968611775024,-1.023415148117904,0.8590176463407961,-0.70868769304959,0.5442901912724822
GaCl2N,0.0592758592935953,-0.646026638975643,0.7053024982692384,-0.7379517641541927,0.797227623447788,-0.7869657304606968,0.8462415897542921,-0.2027325815133463,0.26200844080694163
ZnN10,0.8884012817638233,-0.3680894060567157,1.256490687820539,0.5342773472393755,0.3541239345244478,0.07817822055738352,0.8102230612064397,0.37493736598780103,0.5134639157760222
Pb2F2O6P2,-2.135173827084968,-1.1155805117920523,1.0195933152929157,-1.4511313432789485,0.6840424838060195,-1.336941868224407,0.7982319588605611,-1.7140789184440597,0.42109490864090837
Tl2O4,-0.1266713458712161,-1.34427860204649,1.217607256175274,-0.9069421319322143,0.7802707860609982,-0.9081387010545221,0.781467355183306,-0.7733822667192812,0.6467109208480651
Cs2B2F6O2S6,-1.8066848627185843,-1.1640669607227203,0.642617901995864,-1.1669748988458115,0.6397099638727728,-1.0431845543751737,0.7635003083434106,-1.058171150683974,0.7485137120346104
NaC12,0.0055833430453097,1.1408156882203122,1.1352323451750026,0.9883716873376396,0.9827883442923299,0.7581184312282129,0.7525350881829032,0.40742562027123,0.4018422772259203
NaCl2,-0.8739256059346383,-1.7464243361900884,0.8724987302554501,-1.0210455412101833,0.147119935275545,-1.6255648596257852,0.7516392536911469,-1.1845010918331358,0.3105754858984975
Ge6N2,0.7140799989123892,0.399576899372476,0.3145030995399132,0.6247245689147227,0.08935542999766644,-0.0050045637740685255,0.7190845626864577,0.46134779492517947,0.2527322039872097
PbF2,-2.378401664420487,-1.2860556153592555,1.0923460490612313,-1.7753947365917728,0.603006927828714,-1.681765047336833,0.6966366170836538,-1.7973236360611153,0.5810780283593715
Tl2F2,-1.6703157351963585,-1.1986511104240076,0.4716646247723508,-0.9865627795165901,0.6837529556797683,-0.9854249419585879,0.6848907932377706,-1.2345644887997147,0.43575124639664375
BiNi,0.6913880373367389,0.171911942793726,0.5194760945430129,-0.0446169010788616,0.7360049384156006,0.010969499940016511,0.6804185373967224,0.18569155013847002,0.5056964871982689
MoCI,0.7189199444702723,0.1725118450288874,0.5464080994413849,0.23580100553775715,0.4831189389325151,0.04113966227284351,0.6777802821974288,0.13250267513148076,0.5864172693387916
BaSnTe2,-0.8977585029480291,-0.8121617687232214,0.08559673422480762,-0.4490275835477246,0.44873091940030446,-0.228633941943415,0.669124561004614,-0.5829468692138933,0.3148116337341358
